"RUB","NUM"
"Paiement factures de la Regideso Kin -Ville et Guichet-Unique(Mois de Mai 2022)","1"
"Paiement facture IK service ,ramassase des immondices au Guichet-Unique(Mois de Mai 2022)","2"
"Paiement loyer bureau Mitendi (Mois de Mai 2022)","3"
"Frais de communication Unité genre","4"
"Frais de communication IRHL","5"
"Frais d approvisionnement Frigos bureaux","6"
"Frais de salubrité de la cour","7"
"Rétribution aux nettoyeurs","8"
"Achat produits d'entretien","9"
"Achat fourniture de bureaux","10"
"Frais pour courses de service  IRT","11"
"Frais de dépôt et  transmission de courriers sec.DP","12"
"Frais de dépôt et  transmission de courriers sec.SDAF","13"
"Frais de gardiennage véhicules","14"
"Collation hébdomadaire  aux policiers de garde","15"
"Achat carburant charroi-auto","16"
"Frais de transport aux nettoyeurs","17"
"Frais de travaux d'aménagement bureaux du DP","18"
"Frais de restauration  aux policiers de garde","19"
"Prime du comptable ","20"
"Frais d abonnement Internet (  Microcom et Orange)","21"
"Frais de fonctionnement bureau LEREXCOM","22"
"Frais de fonctionnement Guichet -unique","23"
"Frais de fonctionnement Beach-Ngobila","24"
"Frais de fonctionnement bureau NOCAFEX","25"
"Frais de fonctionnement SEP","26"
"Frais de fonctionnement Délégation syndicale","27"
"Frais d abonnement Canal Sat","28"
"Collation mensuelle  alloueé aux policiers commis à la garde de canots rapides au Beach- Ngobila (Mois de Juin 2022)","29"
"Collation mensuelle  aux policiers de garde","30"
"Frais de recherche pour la lutte contre la fraude","31"
"Frais pour l'élaboration du rapport de paie  ","32"
"Frais de communication de  la délégation syndicale","33"
"Frais de nettoyage de 02 Bus tata","34"
"Frais de communication aux Sous-directions","35"
"Paiement facture SCPT, consommation de l'energie éléctrique au guichet-Unique","36"
"Frais d'entrtien et réparation du Bus Tata N°2206 AB","37"
"Frais de communication secrétariat du DP","38"
"Frais pour soins médicaux","39"
"Autres cas sociaux","40"
"Frais de communication de service Bureau IFI","41"
"Paiement facture SCPT, consommation de l energie éléctrique au guichet-Unique","42"
