"NUMERO","Code_Rubrique","NP","LIB","MT","MOIS","ANNE","MOISAN","CODE","DAT","COMPT","DAF","DP"
"33","","11","Reliure différents rapports et notes
","500000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"34","","11","Rencontres locales
","1350500","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"35","","11","Achat matériels électriques 
","1970500","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"36","","11","Achat boîtes de lait nido
","395000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"37","","11","Frais de réparation pneus véhicules
","550000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"38","","11","Frais pour travaux d'aménagement guérite policiers","615600","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"39","","11","Salubrité spéciale de la cour KV
","500000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"40","","11","Achat fournitures et consommables informatiques
","3865200","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"41","","11","Frais d'entretien frigos bureaux
","340000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"42","","11","Manutention archives
","900000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"43","","11","Achat lubrifiant charroi auto
","1650000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"44","","11","Frais d'entretien splits bureaux
","380000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"45","","11","Frais de nettoyage rideaux
 bureaux SDA, SDAF et ITVRO","275800","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"46","","11","Contribution de la DP aux obsèques de l'agent Bolonga 
","2000000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"47","","11","Achat pièces de rechanges pour bus 2286","1882800","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"48","","11","Achat cric pour jeep Hyundai","187000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"49","","11","Achat dictionnaire Français-Anglais","212000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"51","","11","Achat pièces de rechange pour véhicule","1253220","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"52","","11","Frais pour acquisition groupe électrogène de 5 KVA pour le poste de Mitendi","1985000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","07/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"53","","11","Achat articles en PVC","955600","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"54","","11","Achat jantes pour véhicules","1100000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"56","","11","Complément ration pour les policiers de garde KV
","500000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"57","","11","Achat 2 Lap Top","3507000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"59","","11","Achat cadenas pour les malles des archives
","210000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"60","","11","Frais pour la réparation de la toiture du bureau de la Brigade","1850000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"61","","11","Frais d'intervention services extérieurs
","1500000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"62","","11","Achat photocopieuse canon 5250
","2990000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"63","","11","Frais de réparation des étagères bureaux
","360000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"64","","11","Achat pompes à eau pour véhicule
","980000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"66","","11","Achat toners en couleur
","1980000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"67","","11","Achat Home box Africell ","127500","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"68","","11","Complément transport aux nettoyeurs
","500000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"69","","11","Achat pompe d'amortissage pour jeep
","450000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"70","","11","Achat équipements des nettoyeurs
","739130","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"71","","11","Achat régulateur de tension et cartes mémoire groupe électrogène
","3980000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"73","","11","Frais de réparation,tarage pompe d'injection et achat radio jeep 5596
","1720800","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"74","","11","Achat Anios gel ","2625000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"75","","11","Désinfection et dératisation bureau GU
","1980400","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"76","","11","Achat unités de tambours 10A MF 201A
 ","750500","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"77","","11","Achat tuyau pour arrossage 
","80000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"78","","11","Achat phares pour véhicule","980500","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"79","","11","Frais d'entretien photocopieuse
","254000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"80","","11","Achat rotules de direction jeep 5604
","987000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"81","","11","Achat courroies dentées ","254150","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"82","","11","Mise en service de l'ordinateur bureau DP","205000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"83","","11","Achat 02 fontaines pour bureaux
","925500","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"84","","11","Achat sabots de frein jeep 8608","975000","DECEMBRE","2022","","PROGRAMMATION LUMUMBA","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"85","","11","Paiement factures de la Regideso Kin -Ville et Guichet-Unique(Mois de Novembre 2022)","1800000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"86","","11","Paiement facture IK service ,ramassage des immondices au Guichet-Unique (Novembre 2022)","220000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"87","","11","Paiement loyer bureau Mitendi (Mois de Novembre 2022)","800000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"88","","11","Frais de communication Unité genre","500000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"89","","11","Frais de communication IRHL","200000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"90","","11","Frais de communication IRT","300000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"91","","11","Frais de communication IFI","500000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"92","","11","Frais d'approvisionnement Frigos bureaux","1260000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"93","","11","Frais de salubrité de la cour/KV","160000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
"94","","11","Rétribution aux nettoyeurs","2750000","DECEMBRE","2022","","PROGRAMMATION EVE","08/12/2022 00:00:00","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU"
