"Num_Auto_Bc","Num_BS_Caisse","Motif_Bs","MT_Chiffre_BS","MT_Lttre_BS","Date_Sortie","Date_Sortie1","Code_Service","Heure_s","Benef","Code_Rubrique","COD","SUPPRIM","NBEO"
"238","219","Aide & secours MIHADERETA","150000","Cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:50:21","","","","NON","352"
"36","22","Achat cartouche et papier royal","197000","Cent quatre-vingt  dix-sept mille francs congolais","06/09/2022 00:00:00","2022/09/06","","30/12/1899 13:09:58","","","","NON","922"
"239","220","aIDE 1 SECOURS UDDSC/ASBL","150000","Cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:51:30","","","","NON","353"
"240","221","Aide & secours AMHAD","150000","Cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:52:18","","","","NON","354"
"241","222","Aide & secours VENGO","150000","Cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:53:17","","","","NON","355"
"242","223","Course de service Basolua","15000","Quinze mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:54:33","","","","NON","356"
"243","224","Frais transport aux nettoyeurs 05-09/09 et 12-16/09/22","490000","Quatre cent quatre-vingt  dix mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:57:58","","","","NON","357"
"244","225","Frais de depot et transmission courriers secr DP","350000","Trois cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:59:08","","","","NON","358"
"245","226","Course de service de l'IRT 12-16/09/22","600000","Six cent mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 10:59:57","","","","NON","359"
"246","227","Frais de depot et  transmission courriers secr SDAF 12-16/09","250000","Deux cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:01:04","","","","NON","360"
"247","228","Frais de réparation pneus jeep 7252","21000","Vingt  et un mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:01:57","","","","NON","361"
"248","229","Prime du comptable septembre 2022","700000","Sept cent mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:03:18","","","","NON","362"
"37","23","Course de service Ndeji","15000","Quinze mille francs congolais","06/09/2022 00:00:00","2022/09/06","","30/12/1899 13:10:42","","","","NON","923"
"249","230","Aide & secours Nguala","150000","Cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:05:53","","","","NON","364"
"250","231","Aide & secours Masanga","150000","Cent cinquante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:06:45","","","","NON","365"
"251","232","Frais médicaux Kabombo","247500","Deux cent quarante sept mille cinq cent sept francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:07:43","","","","NON","366"
"252","233","Frais de recherche pour la contre la fraude","2000000","Deux millions de francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:09:47","","","","NON","367"
"253","234","Collation aux cadres et agents pour l'encadrement des ressources propres","3161500","Trois millions cent soixante  et un mille cinq cent un francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 11:11:54","","","","NON","368"
"254","235","Course de service Ndeji","15000","Quinze mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 08:44:58","","","","NON","369"
"255","236","Frais de gardiennage de 02 bus tata","70000","Soixante  dix mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 08:45:54","","","","NON","370"
"256","237","Demontage et montage pneus bus 0648","60000","Soixante mille francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 08:47:08","","","","NON","371"
"257","238","Achat reglettes et cables électriques pour bureau IAPA","227500","Deux cent vingt sept mille cinq cent sept francs congolais","16/09/2022 00:00:00","2022/09/16","","30/12/1899 08:49:15","","","","NON","372"
"258","239","Mission n°DGDA/3400/DP/KV/207/2022 (Kadindwe)","173950","Cent soixante  treize mille neuf cent cinquante francs congolais","19/09/2022 00:00:00","2022/09/19","","30/12/1899 08:51:14","","","","NON","373"
"38","24","Course de service Ntumba","10000","Dix mille francs congolais","07/09/2022 00:00:00","2022/09/07","","30/12/1899 13:11:57","","","","NON","924"
"259","240","Demontage et replacement pneus véh. 6771","35000","Trente cinq mille francs congolais","19/09/2022 00:00:00","2022/09/19","","30/12/1899 08:56:29","","","","NON","374"
"260","241","Achat SAE 90 pour jeep 4393","63250","Soixante trois mille deux cent cinquante francs congolais","19/09/2022 00:00:00","2022/09/19","","30/12/1899 08:57:52","","","","NON","375"
