"Num_Auto_Mvt","Num_Mvt","Mvt","MT_Chiffre_Mvt_R","MT_Chiffre_Mvt_D","MT_Lttre_Mvt","Motif_Mvt","Date_Mvt","Date_Mvt1","Code_Service","Service_Mvt","Solde_Av_Mvt","Solde_Av_Mvt1","Solde_Ap_Mvt","Solde_Ap_Mvt1","Heure_Mvt","Benef_Mvt","Code_Rubrique","Rubrique_Mvt","MODIF"
"2814","2388","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","01/01/2012 00:00:00","2012/01/01","Secu","Sécurité","78,0599999999999","78,0599999999999","71,3999999999999","71,3999999999999","30/12/1899 13:45:23","Shellah","53","Ration sécurité",""
"2815","2389","Dépenses","0","5","Dollars américaions cinq","Transport agents","01/01/2012 00:00:00","2012/01/01","Bur","Bureau","71,3999999999999","71,3999999999999","66,3999999999999","66,3999999999999","30/12/1899 13:46:07","Hypplite","135","Transport agents",""
"2816","2390","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","02/01/2012 00:00:00","2012/01/02","Secu","Sécurité","66,3999999999999","66,3999999999999","59,7399999999999","59,7399999999999","30/12/1899 10:14:55","Chirro","53","Ration sécurité",""
"2817","2391","Dépenses","0","5","Dollars américains cinq","Transport agents","02/01/2012 00:00:00","2012/01/02","Bur","Bureau","59,7399999999999","59,7399999999999","54,7399999999999","54,7399999999999","30/12/1899 10:15:29","Hyppolite","135","Transport agents",""
"2818","2392","Dépenses","0","3,88","Dollars américains trois point quatre vingt huit","Achat Disque à couper","03/01/2012 00:00:00","2012/01/03","Sc","Sciérie","54,7399999999999","54,7399999999999","50,8599999999999","50,8599999999999","30/12/1899 09:15:13","Fiston LUFE","13","Achat Disque à couper",""
"2819","2393","Dépenses","0","4,25","Dollars américains quatre point vingt cinq","Soufflage scierie","03/01/2012 00:00:00","2012/01/03","Sc","Sciérie","50,8599999999999","50,8599999999999","46,6099999999999","46,6099999999999","30/12/1899 09:17:12","Fiston LUFE/Achat gasoil ","194","Soufflage scierie",""
"2820","427","Recettes","50","0","Dollars américains cinquante ","Retour caisse","03/01/2012 00:00:00","2012/01/03","Pres","Président","46,6099999999999","46,6099999999999","96,6099999999999","96,6099999999999","30/12/1899 13:14:48","KEMBO","105","Retour caisse",""
"2821","428","Recettes","300","0","Dollars américains trois cents","Prestation de sciage ","03/01/2012 00:00:00","2012/01/03","Sc","Sciérie","96,6099999999999","96,6099999999999","396,61","396,61","30/12/1899 13:31:50","Mme ADA","1","Prestation de sciage ",""
"2822","2394","Dépenses","0","33","Dollars américains trente trois","Achat gasoil Poclain ","03/01/2012 00:00:00","2012/01/03","Gar","Garage","396,61","396,61","363,61","363,61","30/12/1899 13:34:35","Guillaume ","14","Achat gasoil Poclain ",""
"2823","2395","Dépenses","0","50","Dollars américains cinquante","Prélèvement Président","03/01/2012 00:00:00","2012/01/03","Pres","Président","363,61","363,61","313,61","313,61","30/12/1899 13:34:59","KEMBO","45","Prélèvement Président",""
"2824","2396","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","03/01/2012 00:00:00","2012/01/03","Secu","Sécurité","313,61","313,61","306,95","306,95","30/12/1899 13:35:43","Shellah","53","Ration sécurité",""
"2825","2397","Dépenses","0","3,88","Dollars américains trois point quatre vingt huit","Achat Disque à couper","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","306,95","306,95","303,07","303,07","30/12/1899 09:46:57","MBIYA","13","Achat Disque à couper",""
"2826","2398","Dépenses","0","7,77","Dollars américains sept point soixante sept","Achat carbure","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","303,07","303,07","295,3","295,3","30/12/1899 09:50:48","Mbiya","10","Achat carbure",""
"2827","2399","Dépenses","0","28","Dollars américains vingt ","Achat gasoil D8","05/01/2012 00:00:00","2012/01/05","Gar","Garage","295,3","295,3","267,3","267,3","30/12/1899 09:51:48","TWEVA","210","Achat gasoil D8",""
"2828","2400","Dépenses","0","28","Dollars américains vingt huit","Achat gasoil Poclain ","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","267,3","267,3","239,3","239,3","30/12/1899 09:52:19","Moïse MIKANZU","14","Achat gasoil Poclain ",""
"2829","2401","Dépenses","0","14","Dollars américains quatorze","Achat gasoil 950","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","239,3","239,3","225,3","225,3","30/12/1899 09:54:39","Moïse MIKANZU/Ajout","211","Achat gasoil 950",""
"2830","429","Recettes","20","0","Dollars américains vingt","Electricité 13ème Tunel","05/01/2012 00:00:00","2012/01/05","Elec","Electricité","0","0","245,3","245,3","30/12/1899 09:57:58","FADE","120","Electricité 13ème Tunel",""
