"Num_Auto_Mvt","Num_Mvt","Mvt","Categorie","Categdep","MT_Chiffre_Mvt_R","MT_Chiffre_Mvt_D","TYPE","DESIGN","MOISAN","MT_Lttre_Mvt","Motif_Mvt","Date_Mvt","Date_Mvt1","NORD","DATBEO","Code_Service","Service_Mvt","COMPT","DAF","DP","GDP","Solde_Av_Mvt","Solde_Av_Mvt1","Solde_Ap_Mvt","Solde_Ap_Mvt1","Heure_Mvt","Benef_Mvt","Code_Rubrique","Rubrique_Mvt","REP","CODE","MOIS","ANNE","MOISAN2","NBEO","MLMOIS","DATF","TITRE","COD"
"169","1","Recettes","Recettes","Recettes","27929069,39","0","AUTRES","","SEPTEMBRE/2022","Vingt sept millions neuf cent vingt neuf mille soixante neuf et trente neuf centime francs congolais","SOLDE DU 31 AOUT 2022","01/09/2022 00:00:00","2022/09/01","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","121069705,41","121069705,41","148998774","148998774","30/12/1899 12:03:22","","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","10"
"170","2","Recettes","Recettes","Recettes","5422935","0","AUTRES","","SEPTEMBRE/2022","Cinq millions quatre cent vingt deux mille neuf cent trente cinq francs congolais","PV CX N° 002/22 P/C Rris congo 3eme acompte","01/09/2022 00:00:00","2022/09/01","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","25549069,39","25549069,39","30972004","30972004","30/12/1899 12:05:35","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"171","3","Recettes","Recettes","Recettes","5422935","0","AUTRES","","SEPTEMBRE/2022","Cinq millions quatre cent vingt deux mille neuf cent trente cinq francs congolais","PV CX N° 003/22 P/C Oris congo 3eme acompte","01/09/2022 00:00:00","2022/09/01","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","30972004,39","30972004,39","36394939","36394939","30/12/1899 12:06:31","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"172","4","Recettes","Recettes","Recettes","410746","0","AUTRES","","SEPTEMBRE/2022","Quatre cent dix mille sept cent quarante six francs congolais","vente imprimés (BA)","02/09/2022 00:00:00","2022/09/02","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","36394939,39","36394939,39","36805685","36805685","30/12/1899 12:23:10","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"173","5","Recettes","Recettes","Recettes","6161190","0","AUTRES","","SEPTEMBRE/2022","Six millions cent soixante  et un mille cent quatre-vingt  dix francs congolais","Vente imprimés (BA)","02/09/2022 00:00:00","2022/09/02","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","36805685,39","36805685,39","42966875","42966875","30/12/1899 12:25:11","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"174","6","Recettes","Recettes","Recettes","2400000","0","AUTRES","","SEPTEMBRE/2022","Deux millions quatre cent mille francs congolais","PV CX N° 013/22 P/C TALA MAYI","02/09/2022 00:00:00","2022/09/02","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","42966875,39","42966875,39","45366875","45366875","30/12/1899 12:26:20","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"175","7","Recettes","Recettes","Recettes","18535943","0","AUTRES","","SEPTEMBRE/2022","Dix-huit millions cinq cent trente cinq mille neuf cent quarante trois francs congolais","PV CX N° 150/22 P/C Sté MEGA CONGO","06/09/2022 00:00:00","2022/09/06","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","45366875,39","45366875,39","63902818","63902818","30/12/1899 12:27:39","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"176","8","Recettes","Recettes","Recettes","2727258,13","0","AUTRES","","SEPTEMBRE/2022","Deux millions sept cent vingt sept mille deux cent cinquante huit et treizehuit centime francs congolais","Récupération fonds social","07/09/2022 00:00:00","2022/09/07","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","63902818,39","63902818,39","66630076","66630076","30/12/1899 12:28:57","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"177","9","Recettes","Recettes","Recettes","7440000","0","AUTRES","","SEPTEMBRE/2022","Sept millions quatre cent quarante mille francs congolais","Prime de surveillance Bracongo","07/09/2022 00:00:00","2022/09/07","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","66630076,52","66630076,52","74070076","74070076","30/12/1899 12:29:48","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
"178","10","Recettes","Recettes","Recettes","219700000","0","AUTRES","","SEPTEMBRE/2022","Deux cent dix-neuf millions sept cent mille francs congolais","Frais de fonctionnement","09/09/2022 00:00:00","2022/09/09","","","","","KASANGANDJO - WANDUMA","BUEYA - NZUZI","NTAMBUE - KANKU","","74070076,52","74070076,52","293770076","293770076","30/12/1899 12:30:34","Centre Médical","","","0","707820","SEPTEMBRE","2022","","","Francs Congolais:  Vingt quatre millions huit cent quinzequatre mille huit cent vingt sept et cinquante six centime","30/09/2022","","1"
