"DAT","MT","CODE_SERVICE"
"29/08/2022","808150000",""
"30/08/2022","215000",""
"31/08/2022","2930000",""
"01/09/2022","0",""
"02/09/2022","450000",""
"03/09/2022","3355000",""
"03/09/2022","1230000",""
"05/09/2022","250000",""
"07/09/2022","13700000",""
"08/09/2022","",""
"09/09/2022","",""
"10/09/2022","0",""
"11/09/2022","0",""
"12/09/2022","0",""
"13/09/2022","275460147",""
"14/09/2022","275335897",""
"16/09/2022","277219627",""
"19/09/2022","275689627",""
"20/09/2022","188058713",""
"22/09/2022","177002213",""
"23/09/2022","79159027",""
"26/09/2022","61560825",""
"27/09/2022","52820825",""
"28/09/2022","39140559",""
"29/09/2022","30713751",""
"30/09/2022","29900751",""
"03/10/2022","15227506",""
"04/10/2022","11484648",""
"01/10/2022","11087348",""
"05/10/2022","",""
"06/10/2022","10912348",""
"08/10/2022","10912348",""
"13/10/2022","12651376",""
"14/10/2022","12651376",""
"16/10/2022","293819573",""
"20/10/2022","267058916",""
"21/10/2022","252688512",""
"22/10/2022","234695464",""
"23/10/2022","183923664",""
"24/10/2022","98122299",""
"31/10/2022","82540496",""
"01/11/2022","64584416",""
"02/11/2022","57173166",""
"03/11/2022","49188166",""
"04/11/2022","74036854",""
"07/11/2022","88576780",""
"09/11/2022","",""
"10/11/2022","88476780",""
"16/11/2022","75417602",""
"17/11/2022","288051502",""
"18/11/2022","287888502",""
"21/11/2022","281064565",""
"23/11/2022","344961082",""
"24/11/2022","",""
"25/11/2022","281141882",""
"28/11/2022","280056832",""
"30/11/2022","226639722",""
"01/12/2022","114253009",""
"02/12/2022","87334355",""
"05/12/2022","72102922",""
"06/12/2022","84824536",""
"07/12/2022","84824536",""
"08/12/2022","83978036",""
"09/12/2022","95735676",""
"13/12/2022","",""
"15/12/2022","95735676",""
"16/12/2022","81881636",""
"19/12/2022","72990636",""
"20/12/2022","72990636",""
"21/12/2022","46432386",""
"22/12/2022","21569456",""
"23/12/2022","5816406",""
"26/12/2022","161006031",""
"27/12/2022","154935761",""
"28/12/2022","154119261",""
"29/12/2022","154119261",""
"30/12/2022","107446731",""
"02/01/2023","91697231",""
"03/01/2023","89385131",""
"05/01/2023","83810386",""
"06/01/2023","79170386",""
"09/01/2023","79214686",""
"10/01/2023","",""
"11/01/2023","133178853",""
"18/01/2023","96164348",""
"19/01/2023","92188248",""
"20/01/2023","274594359",""
"23/01/2023","217741338",""
"24/01/2023","159752143",""
"25/01/2023","142704643",""
"26/01/2023","136370843",""
"27/01/2023","117985625",""
"30/01/2023","114433578",""
"31/01/2023","101134578",""
"02/02/2023","89379778",""
"03/02/2023","65404742",""
"06/02/2023","64101242",""
"07/02/2023","62380292",""
"08/02/2023","59530292",""
"09/02/2023","59355292",""
"10/02/2023","59650292",""
"15/02/2023","60758092",""
"16/02/2023","39524592",""
"17/02/2023","",""
"21/02/2023","259367666",""
"22/02/2023","259398464",""
"23/02/2023","233435964",""
"27/02/2023","185999092",""
"28/02/2023","114422767",""
"03/03/2023","",""
"06/03/2023","106585767",""
"07/03/2023","122178780",""
"08/03/2023","96397380",""
"09/03/2023","126008374",""
"10/03/2023","117125185",""
"15/03/2023","220006032",""
"16/03/2023","129858760",""
"17/03/2023","176797310",""
"18/03/2023","174723610",""
"20/03/2023","169606269",""
"24/03/2023","163538269",""
"28/03/2023","159949095",""
"30/03/2023","140405245",""
"31/03/2023","137719245",""
"03/04/2023","133647395",""
"10/04/2023","133276955",""
"12/04/2023","135579193",""
"13/04/2023","285898674",""
"20/04/2023","280875174",""
"26/04/2023","1173933408",""
"28/04/2023","1082682158",""
"02/05/2023","1045133865",""
"03/05/2023","873955732",""
"04/05/2023","826890001",""
"05/05/2023","790014251",""
"08/05/2023","782783801",""
"09/05/2023","781733801",""
"10/05/2023","775421701",""
"11/05/2023","169246357",""
"12/05/2023","163747857",""
"15/05/2023","180715686",""
"18/05/2023","180877486",""
"22/05/2023","178082486",""
"23/05/2023","175911361",""
"24/05/2023","163612154",""
"25/05/2023","144308990",""
"26/05/2023","93853956",""
"29/05/2023","49822770",""
"30/05/2023","25532338",""
"31/05/2023","254019138",""
"02/06/2023","1114814683",""
"06/06/2023","510559339",""
"07/06/2023","505991639",""
"08/06/2023","196089107",""
"12/06/2023","162964357",""
"13/06/2023","159259058",""
"15/06/2023","158443058",""
"16/06/2023","",""
"19/06/2023","158443058",""
"20/06/2023","158443058",""
"22/06/2023","156151672",""
"28/06/2023","156151672",""
"29/06/2023","29153144",""
"03/07/2023","265704",""
"04/07/2023","256965204",""
"05/07/2023","201856604",""
"06/07/2023","193533459",""
"10/07/2023","179053859",""
"11/07/2023","171478108",""
"12/07/2023","169328108",""
"13/07/2023","168955158",""
"14/07/2023","166131158",""
"24/07/2023","185448158",""
"01/08/2023","172540658",""
"02/08/2023","140620958",""
"03/08/2023","9345184",""
"04/08/2023","226135134",""
"07/08/2023","194499728",""
"08/08/2023","192518330",""
"10/08/2023","190171330",""
"18/08/2023","284149502",""
"21/08/2023","272671788",""
"22/08/2023","267590197",""
"24/08/2023","247845197",""
"29/08/2023","247845197",""
"30/08/2023","199930046",""
"31/08/2023","121563296",""
"01/09/2023","634409272",""
"04/09/2023","625494272",""
"06/09/2023","605657567",""
"07/09/2023","585765000",""
"08/09/2023","548916139",""
"11/09/2023","548916139",""
"12/09/2023","266755933",""
"13/09/2023","267660933",""
"15/09/2023","286354100",""
"21/09/2023","228896679",""
"22/09/2023","278375556",""
"26/09/2023","441763615",""
"27/09/2023","419286965",""
"28/09/2023","408419815",""
"02/10/2023","402167315",""
"04/10/2023","402167315",""
"05/10/2023","364372390",""
"06/10/2023","308826890",""
"09/10/2023","268054796",""
"10/10/2023","230575546",""
"11/10/2023","230560546",""
"12/10/2023","189008946",""
"13/10/2023","211949796",""
"16/10/2023","211949796",""
"17/10/2023","215922796",""
"18/10/2023","477831293",""
"19/10/2023","473557958",""
"20/10/2023","471957958",""
"23/10/2023","205472708",""
"24/10/2023","199552708",""
"31/10/2023","399773453",""
"01/11/2023","373133453",""
"02/11/2023","372962862",""
"03/11/2023","346604362",""
"06/11/2023","277573285",""
"07/11/2023","227539285",""
"10/11/2023","144690030",""
"13/11/2023","296550233",""
"16/11/2023","355394003",""
"17/11/2023","355394003",""
"22/11/2023","320732403",""
"23/11/2023","320092403",""
"29/11/2023","272572403",""
"30/11/2023","355573814",""
"01/12/2023","321466314",""
