"NUMER","COD","LIB","MR","MD","ML","ANNEE","DATF","COMPT"
"813","707820","SOLDE","248557104,61","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"814","707820","Vente des Imprimées","34977000","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"815","707820","Prime surveillance SEP","118200795","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"816","707820","Contentieux","1166688632","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"817","707820","Prime Informatique","114630880,76","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"818","707820","Récupération fonds social","26004024,13","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"819","707820","DG Fonctionnement","2432856961","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"820","707820","Appro Caisse","455621241,87","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"821","707820","Prime surveillance Bracongo","41040000","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"822","707820","Amendes Transactionnelles","12450000","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"823","707820","KV, PV n° 02/IAJC/2023 P/C Les Benjamins SARL","15144873","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"824","707820","DG, Paiement arrierés des primes des scellés 2019 à 2022","604255680","0","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"825","604130","Articles alimentaires                             ","0","58983610","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"826","604210","Carburant et lubrifiant","0","365854225","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"827","604300","Produits d’entretien","0","63671670","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"828","604710","Fournitures de bureau","0","352220527","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"829","604720","Consommables informatiques","0","258139650","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"830","605100","Eau","0","25847167,61","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"831","605200","Electricité","0","74443946","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"832","618120","Déplacement","0","103533000","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"833","622210","Loyers locaux et bureaux de service","0","15040000","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"834","624000","Entretien, réparations et maintenance","0","540382067,96","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"835","626530","Abonnements","0","44809845","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
"836","628100","Frais de communications et télécommunications","0","113721025","Francs Congolais:  Deux cent vingt neuf millions quatre cent quarante trois mille cinq cent cinquante  et un et quatre-vingt  et un centime","VIDE","",""
