"Code_Rubrique","Rubrique","Type","Imputation"
"1","Prestation de sciage ","Recettes","711013"
"10","Achat carbure","Dépenses","612619"
"100","Tracasseries policières","Dépenses","648000"
"101","Electricité 13ème","Recettes","461000"
"102","Emprunt Changeur","Recettes","460000"
"103","Travaux filétage","Dépenses","634300"
"104","Achat axe scierie","Dépenses","611254"
"105","Retour caisse","Recettes",""
"106","Location Remorque","Recettes","711001"
"107","Réparation pneu Mitsubishi","Dépenses","631111"
"109","Travaux Affutage","Dépenses","612619"
"110","Garantie Locative","Dépenses",""
"111","Achat pièce de rechange D8","Dépenses",""
"112","Prêt Accordé","Dépenses",""
"113","M.O extérieure","Dépenses",""
"114","Trvaux dédoubleuse","Dépenses",""
"115","Achat gasoil courses de service","Dépenses",""
"116","Approvisionnement caisse","Recettes",""
"117","Achat pièce de rechange D5","Dépenses",""
"118","Achat essence tronçonneuse","Dépenses",""
"119","Achat Silicone","Dépenses",""
"12","Achat baguettes ordinaires","Dépenses",""
"120","Electricité 13ème Tunel","Recettes",""
"121","Achat SAE 90","Dépenses",""
"122","Achat Graisse","Dépenses",""
"123","Collation Pasteurs","Dépenses",""
"124","Entretien Engin","Dépenses",""
"125","Réparation Pneu PAJERO","Dépenses",""
"126","Achat Huile Hydraulique rouge Poclain","Dépenses",""
"127","Achat huile hydraulique D5","Dépenses",""
"128","Paiement Coiffeur","Dépenses",""
"129","Acompte sur salaire","Dépenses",""
"13","Achat Disque à couper","Dépenses",""
"130","Achat gasoil D5","Dépenses",""
"131","Achat pièce de rechange 950","Dépenses",""
"132","Location BARGE","Recettes",""
"133","Achat Bottes","Dépenses",""
"134","Achat Clous","Dépenses",""
"135","Transport agents","Dépenses",""
"136","Achat pneus ","Dépenses",""
"137","Location Salle","Dépenses",""
"138","Achat huile soluble","Dépenses",""
"139","Achat Disjoncteur","Dépenses",""
"14","Achat gasoil Poclain ","Dépenses","612150"
