"Code_Rubrique","Rubrique","Type","Imputation"
"1","Achat Produits Pharmaceutiques","Depenses",""
"10","Achat cartes de communication","Depenses",""
"11","Achat detergents","Depenses",""
"12","Achat fournitures de bureaux","Depenses",""
"13","Achat Cons Informatique","Depenses",""
"14","Payement fact Oph et lunetterie","Depenses",""
"15","Imprévus","Depenses",""
"16","Achat Sang","Depenses",""
"17","Approv","Recettes",""
"18","PAYEMENT CONSTRUCTION","Depenses",""
"19","PERCEPTION BEACH","Recettes",""
"2","Achat Produits en Urgence","Recettes",""
"20","ACHAT MOTEUR","Depenses",""
"21","ACHAT MOTEUR MAZDA","Depenses",""
"3","Payement soins médicaux","Recettes",""
"4","Payement transport","Recettes",""
"6","Achat carburant","Recettes",""
"7","Achat Cons Oph et lunetterie","Recettes",""
"8","Achat réactifs de labo","Recettes",""
"9","Achat drogue anest et cons salle op","Recettes",""
