"Code_Service","Service"
"AF","Afriland Amortissement"
"Afriland","AFRILAND"
"AMRT","Amortissement"
"BAT","BAT STAR"
"Bc","BCDC LBKK"
"Biac","BIAC SBB"
"BK","BCDC LBKK"
"Bur","Bureau"
"CK","Chantier KONOTAMPA"
"CM","Chantier Moïse "
"Cse","Caisse"
"Dem","Divers Emprunts"
"Elec","Electricité"
"Fer","Ferme"
"Frt","Forêts/Ingende"
"Gar","Garage"
"Gr","Gracius"
"in","INSS"
"Inv","Investissement"
"Ip","INPP"
"Lo","Loyer"
"M/B","Maman FRIDA"
"Mc","MSC"
"Microcom","Internet"
"Oc","Unités Fluviales"
"Pers","Personnel"
"Pres","Président"
"Rm","Divers Remboursements"
"Rw","RAW banque"
"Sc","Sciérie"
"Secu","Sécurité"
"Tech","Technique"
"Tf","TFCE"
"Tmb","TMB"
"UF","Unités Fluviales"
"Vdc","VODACOM"
