"Code_Rubrique","Rubrique","Imputation","Type"
"1","Prestation de sciage ","711013","Recettes"
"10","Achat carbure","612619","D?penses"
"100","Tracasseries polici?res","648000","D?penses"
"101","Electricit? 13?me","461000","Recettes"
"102","Emprunt Changeur","460000","Recettes"
"103","Travaux fil?tage","634300","D?penses"
"104","Achat axe scierie","611254","D?penses"
"105","Retour caisse","","Recettes"
"106","Location Remorque","711001","Recettes"
"107","R?paration pneu Mitsubishi","631111","D?penses"
"109","Travaux Affutage","612619","D?penses"
"110","Garantie Locative","","D?penses"
"111","Achat pi?ce de rechange D8","","D?penses"
"112","Pr?t Accord?","","D?penses"
"113","M.O ext?rieure","","D?penses"
"114","Trvaux d?doubleuse","","D?penses"
"115","Achat gasoil courses de service","","D?penses"
"116","Approvisionnement caisse","","Recettes"
"117","Achat pi?ce de rechange D5","","D?penses"
"118","Achat essence tron?onneuse","","D?penses"
"119","Achat Silicone","","D?penses"
"12","Achat baguettes ordinaires","","D?penses"
"120","Electricit? 13?me Tunel","","Recettes"
"121","Achat SAE 90","","D?penses"
"122","Achat Graisse","","D?penses"
"123","Collation Pasteurs","","D?penses"
"124","Entretien Engin","","D?penses"
"125","R?paration Pneu PAJERO","","D?penses"
"126","Achat Huile Hydraulique rouge Poclain","","D?penses"
"127","Achat huile hydraulique D5","","D?penses"
"128","Paiement Coiffeur","","D?penses"
"129","Acompte sur salaire","","D?penses"
"13","Achat Disque ? couper","","D?penses"
"130","Achat gasoil D5","","D?penses"
"131","Achat pi?ce de rechange 950","","D?penses"
"132","Location BARGE","","Recettes"
"133","Achat Bottes","","D?penses"
"134","Achat Clous","","D?penses"
"135","Transport agents","","D?penses"
"136","Achat pneus ","","D?penses"
"137","Location Salle","","D?penses"
"138","Achat huile soluble","","D?penses"
"139","Achat Disjoncteur","","D?penses"
"14","Achat gasoil Poclain ","612150","D?penses"
