num_bs_caisse,nbeo
"219","352"
"22","922"
"220","353"
"221","354"
"222","355"
"223","356"
"224","357"
"225","358"
"226","359"
"227","360"
"228","361"
"229","362"
"23","923"
"230","364"
"231","365"
"232","366"
"233","367"
"234","368"
"235","369"
"236","370"
"237","371"
"238","372"
"239","373"
"24","924"
"240","374"
"241","375"
"242","376"
"243","377"
"244","650"
"245","379"
"246","380"
"247","381"
"248","382"
"249","383"
"25","925"
"250","384"
"251","385"
"252","386"
"253","387"
"254","389"
"255","391"
"256","392"
"257","393"
"258","394"
"259","395"
"26","927"
"260","396"
"261","397"
"262","398"
"1","648"
"10","910"
"100","968"
"101","969"
"102","970"
"103","971"
"104","972"
"105","973"
"106","974"
"107","976"
"108","677"
"109","678"
"11","911"
"110","679"
"111","680"
"112","682"
"113","649"
"114","685"
"115","688"
"116","691"
"117","691"
"118","692"
"119","694"
"12","912"
"120","695"
"121","696"
"122","697"
"123","698"
"124","699"
"125","700"
"126","701"
"127","702"
"128","703"
"129","705"
"13","913"
"130","706"
"131","707"
"132","708"
"133","709"
"134","710"
"135","711"
"136","712"
"137","713"
"138","714"
"139","715"
"14","914"
"140","716"
"141","717"
"142","718"
"143","719"
"144","720"
"145","721"
"146","723"
"147","724"
"148","725"
"149","726"
"15","915"
"150","727"
"151","728"
"152","729"
"153","731"
"154","732"
"155","733"
"156","734"
"157","735"
"158","736"
"159","737"
"16","916"
"160","738"
"161","739"
"162","740"
"163","741"
"164","742"
"165","743"
"166","744"
"167","745"
"168","746"
"169","747"
"17","916"
"170","748"
"171","749"
"172","750"
"173","751"
"174","752"
"175","753"
"176","754"
"177","755"
"178","756"
"179","757"
"18","918"
"180","758"
"181","759"
"182","760"
"183","761"
"184","762"
"185","763"
"186","764"
"187","765"
"188","766"
"189","768"
"19","919"
"190","769"
"191","770"
"192","771"
"193","772"
"194","773"
"195","774"
"196","775"
"197","776"
"198","777"
"199","778"
"2","901"
"20","920"
"200","778"
"201","784"
"202","786"
"203","787"
"204","788"
"205","789"
"206","790"
"207","791"
"208","792"
"209","793"
"21","921"
"210","795"
"211","796"
"212","798"
"213","799"
"214","798"
"215","799"
"216","800"
"217","2006"
"218","351"
"263","399"
"264","400"
"265","402"
"266","403"
"267","404"
"268","405"
"269","406"
"27","928"
"270","407"
"271","408"
"272","409"
"273","410"
"274","411"
"275","412"
"276","413"
"277","414"
"278","414"
"279","416"
"28","929"
"280","417"
"281","418"
"282","419"
"283","420"
"284","421"
"285","422"
"286","423"
"287","424"
"288","425"
"289","426"
"29","930"
"290","427"
"291","428"
"292","429"
"293","430"
"294","431"
"295","432"
"296","433"
"297","434"
"298","435"
"299","436"
"3","902"
"30","931"
"300","926"
"301","652"
"302","690"
"303","667"
"304","946"
"305","683"
"306","684"
"307","687"
"308","689"
"309","713"
"31","932"
"310","730"
"311","437"
"312","438"
"313","439"
"314","440"
"315","778"
"316","779"
"317","783"
"318","788"
"319","797"
"32","934"
"320","797"
"321","798"
"322","946"
"323","652"
"324","667"
"325","441"
"326","442"
"327","441"
"328","442"
"329","443"
"33","935"
"330","444"
"331","445"
"332","446"
"333","447"
"334","448"
"335","449"
"336","450"
"337","451"
"338","453"
"339","722"
"34","936"
"340","415"
"341","785"
"342","390"
"343","917"
"344","659"
"345","441"
"346","442"
"347","443"
"348","443"
"349","445"
"35","937"
"350","446"
"351","447"
"352","448"
"353","449"
"354","449"
"355","450"
"356","451"
"357","453"
"358","454"
"359","455"
"36","938"
"360","456"
"361","457"
"362","458"
"363","441"
"364","459"
"365","378"
"366","460"
"367","782"
"368","781"
"369","461"
"37","939"
"370","1981"
"371","1981"
"38","940"
"39","941"
"4","904"
"40","917"
"41","942"
"42","943"
"43","934"
"44","935"
"45","936"
"46","937"
"47","938"
"48","939"
"49","940"
"5","905"
"50","940"
"51","940"
"52","918"
"53","919"
"54","920"
"55","921"
"56","922"
"57","923"
"58","924"
"59","925"
"6","906"
"60","926"
"61","927"
"62","928"
"63","929"
"64","930"
"65","931"
"66","932"
"67","933"
"68","934"
"69","935"
"7","907"
"70","936"
"71","937"
"72","938"
"73","939"
"74","940"
"75","941"
"76","942"
"77","943"
"78","944"
"79","945"
"8","908"
"80","947"
"81","948"
"82","949"
"83","950"
"84","950"
"85","953"
"86","952"
"87","954"
"88","955"
"89","956"
"9","909"
"90","957"
"91","958"
"92","959"
"93","960"
"94","961"
"95","962"
"96","963"
"97","964"
"98","965"
"99","966"
"372","2015"
"373","043"
"374","044"
"375","045"
"376","046"
"377","047"
"378","048"
"379","049"
"380","050"
"381","461"
"382","462"
"383","463"
"384","464"
"385","465"
"386","466"
"387","467"
"388","469"
"389","470"
"390","471"
"391","472"
"392","473"
"393","474"
"394","475"
"395","476"
"396","477"
"397","478"
"398","479"
"399","480"
"400","481"
"401","482"
"402","483"
"403","484"
"404","485"
"405","486"
"406","487"
"407","488"
"408","489"
"409","490"
"410","491"
"411","493"
"412","494"
"413","495"
"414","496"
"415","497"
"416","498"
"417","499"
"418","500"
"419","501"
"420","502"
"421","503"
"422","505"
"423","506"
"424","507"
"425","508"
"426","510"
"427","510"
"428","511"
"429","512"
"430","509"
"431","513"
"432","514"
"433","515"
"434","516"
"435","518"
"436","519"
"437","520"
"438","521"
"439","522"
"440","523"
"441","524"
"442","525"
"443","526"
"444","527"
"445","528"
"446","529"
"447","530"
"448","531"
"449","532"
"450","533"
"451","534"
"452","535"
"453","536"
"454","537"
"455","532"
"456","533"
"457","534"
"458","535"
"459","536"
"460","538"
"461","539"
"462","540"
"463","541"
"464","542"
"465","543"
"466","544"
"467","545"
"468","546"
"469","547"
"470","548"
"471","549"
"472","550"
"473","492"
"474","4001"
"475","4002"
"476","4003"
"477","4004"
"478","4005"
"479","4006"
"480","4007"
"481","4008"
"482","4009"
"483","4010"
"484","4011"
"485","4012"
"486","4013"
"487","4014"
"488","4015"
"489","4016"
"490","4018"
"491","4019"
"492","019"
"493","020"
"494","021"
"495","021"
"496","021"
"497","022"
"498","023"
"499","024"
"500","025"
"501","026"
"502","027"
"503","028"
"504","029"
"505","030"
"506","031"
"507","388"
"508","032"
"509","033"
"510","034"
"511","035"
"512","036"
"513","037"
"514","038"
"515","039"
"516","040"
"517","041"
"518","042"
"519","043"
"520","044"
"521","045"
"522","046"
"523","047"
"524","048"
"525","049"
"526","050"
"527","051"
"528","052"
"529","053"
"530","054"
"531","055"
"532","056"
"533","057"
"534","058"
"535","059"
"536","060"
"537","061"
"538","062"
"539","063"
"540","064"
"541","065"
"542","067"
"543","069"
"544","070"
"545","071"
"546","073"
"547","074"
"548","075"
"549","076"
"550","077"
"551","078"
"552","079"
"553","080"
"554","081"
"555","082"
"556","083"
"557","084"
"558","085"
"559","086"
"560","087"
"561","088"
"562","089"
"563","4090"
"564","091"
"565","092"
"566","093"
"567","094"
"568","095"
"569","096"
"570","097"
"571","098"
"572","099"
"573","100"
"574","101"
"575","103"
"576","104"
"577","105"
"578","106"
"579","107"
"580","109"
"581","110"
"582","111"
"583","112"
"584","113"
"585","114"
"586","115"
"587","116"
"588","117"
"589","118"
"590","119"
"591","120"
"592","121"
"593","122"
"594","123"
"595","124"
"596","125"
"597","126"
"598","127"
"599","128"
"600","129"
"601","130"
"602","131"
"603","132"
"604","133"
"605","134"
"606","135"
"607","136"
"608","137"
"609","138"
"610","139"
"611","140"
"612","141"
"613","142"
"614","143"
"615","144"
"616","145"
"617","146"
"618","147"
"619","148"
"620","149"
"621","150"
"622","4151"
"623","153"
"624","154"
"625","155"
"626","155"
"627","156"
"628","157"
"629","158"
"630","159"
"631","160"
"632","161"
"633","152"
"634","162"
"635","164"
"636","165"
"637","166"
"638","167"
"639","170"
"640","163"
"641","171"
"642","172"
"643","173"
"644","174"
"645","177"
"646","178"
"647","179"
"648","180"
"649","184"
"650","195"
"651","197"
"652","181"
"653","168"
"654","169"
"655","176"
"656","183"
"657","196"
"658","175"
"659","182"
"660","185"
"661","186"
"662","198"
"663","199"
"664","200"
"665","201"
"666","202"
"667","028"
"668","187"
"669","188"
"670","189"
"671","190"
"672","191"
"673","192"
"674","204"
"675","193"
"676","205"
"677","206"
"678","207"
"679","203"
"680","208"
"681","210"
"682","211"
"683","212"
"684","209"
"685","213"
"686","214"
"687","215"
"688","216"
"689","451"
"690","452"
"691","453"
"692","454"
"693","455"
"694","456"
"695","457"
"696","458"
"697","459"
"698","460"
"699","461"
"700","462"
"701","463"
"702","464"
"703","465"
"704","465"
"705","466"
"706","467"
"707","468"
"708","469"
"709","470"
"710","471"
"711","472"
"712","473"
"713","474"
"714","475"
"715","476"
"716","477"
"717","478"
"718","479"
"719","480"
"720","481"
"721","482"
"722","483"
"723","484"
"724","485"
"725","486"
"726","487"
"727","488"
"728","489"
"729","490"
"730","491"
"731","492"
"732","493"
"733","494"
"734","495"
"735","496"
"736","497"
"737","498"
"738","499"
"739","500"
"740","1001"
"741","1002"
"742","1003"
"743","1003"
"744","1003"
"745","1004"
"746","1005"
"747","1006"
"748","1007"
"749","050"
"750","1008"
"751","1009"
"752","1010"
"753","1011"
"754","1012"
"755","1013"
"756","1014"
"757","1015"
"758","1016"
"759","1017"
"760","1018"
"761","1019"
"762","1020"
"763","1021"
"764","1022"
"765","1023"
"766","1024"
"767","1025"
"768","1026"
"769","1027"
"770","1028"
"771","1029"
"772","1030"
"773","1031"
"774","1032"
"775","1033"
"776","1034"
"777","1035"
"778","1036"
"779","1037"
"780","449"
"781","448"
"782","1038"
"783","1039"
"784","1040"
"785","1041"
"786","1042"
"787","1043"
"788","1044"
"789","1045"
"790","1046"
"791","1047"
"792","1048"
"793","1049"
"794","1050"
"795","547"
"796","4048"
"797","1051"
"798","1052"
"799","1053"
"800","1054"
"801","1055"
"802","1056"
"803","1057"
"804","1058"
"805","1059"
"806","1060"
"807","1061"
"808","1062"
"809","1063"
"810","1064"
"811","1065"
"812","1066"
"813","1067"
"814","1068"
"815","1069"
"816","1070"
"817","1071"
"818","1072"
"819","1073"
"820","1074"
"821","1075"
"822","1076"
"823","1077"
"824","1078"
"825","1079"
"826","1080"
"827","1081"
"828","1082"
"829","1083"
"830","1084"
"831","1085"
"832","1086"
"833","1087"
"834","1089"
"835","1090"
"836","1091"
"837","1092"
"838","1093"
"839","1094"
"840","1095"
"841","1096"
"842","1097"
"843","1098"
"844","1099"
"845","1100"
"846","1101"
"847","1103"
"848","1104"
"849","1105"
"850","1106"
"851","1107"
"852","1108"
"853","1109"
"854","1110"
"855","1111"
"856","1112"
"857","1113"
"858","1114"
"859","1115"
"860","1116"
"861","1117"
"862","1118"
"863","1119"
"864","1121"
"865","1122"
"866","1123"
"867","1124"
"868","1125"
"869","1126"
"870","1127"
"871","1128"
"872","1129"
"873","1130"
"874","1131"
"875","1132"
"876","1133"
"877","1134"
"878","1135"
"879","1136"
"880","1137"
"881","1138"
"882","1139"
"883","1140"
"884","1141"
"885","1142"
"886","1143"
"887","1144"
"888","1145"
"889","1146"
"937","1194"
"938","1195"
"939","1196"
"940","1197"
"941","1198"
"942","1199"
"943","1200"
"944","1201"
"945","1202"
"946","1203"
"947","1204"
"948","1205"
"949","1206"
"950","1207"
"951","1219"
"952","1220"
"953","1221"
"954","1222"
"955","1223"
"956","1224"
"957","1225"
"958","1226"
"959","1227"
"981","1239"
"982","1236"
"983","1208"
"984","1209"
"985","1210"
"986","1211"
"987","1212"
"988","1213"
"989","1214"
"990","1215"
"991","1216"
"992","1217"
"993","1218"
"994","1240"
"995","1241"
"996","1242"
"997","1240"
"998","1241"
"999","1242"
"1000","1243"
"1001","1244"
"1002","1245"
"1003","1246"
"1004","1247"
"1005","1248"
"1006","1249"
"1007","1250"
"1008","4219"
"1009","4220"
"1010","4221"
"1011","4222"
"1012","1237"
"1013","4223"
"1014","7001"
"1015","7002"
"1016","7003"
"1017","7004"
"1018","7005"
"1019","7006"
"1020","7007"
"1021","7008"
"1022","7009"
"1023","1226"
"1024","1226"
"1025","7011"
"1026","7013"
"1027","7014"
"1028","7015"
"1029","7016"
"1030","7017"
"1031","7018"
"1032","7019"
"1033","7021"
"1034","4049"
"1035","7022"
"1036","7023"
"1037","7024"
"1038","7025"
"1039","7026"
"1040","7028"
"1041","7028"
"1042","7029"
"1043","7030"
"1044","7031"
"1045","7032"
"1046","7034"
