nbeo,code
648,628100
901,604130
902,618120
904,604130
905,604720
906,604210
907,618120
908,663841
909,618120
910,618120
911,618120
912,632840
913,618120
914,632831
915,618120
916,618120
918,663841
919,618120
920,618120
921,626530
922,604720
923,618120
924,618120
925,632860
927,663841
928,604710
929,604130
930,632831
931,661273
932,632860
934,663841
935,632840
936,618120
937,618120
938,618120
939,618120
940,618120
941,618120
942,668360
943,624000
933,604710
944,631000
945,659800
947,628100
948,628100
949,659800
950,604130
651,632540
653,632540
654,632540
655,604130
656,618120
657,622210
658,604720
660,604130
661,632860
662,624000
663,604130
664,668360
665,624000
966,624000
668,604210
669,605820
670,624000
671,624000
672,604710
673,624000
974,624000
676,624000
677,604720
678,624000
679,624000
680,632860
682,659800
649,604210
685,604710
688,604130
691,624000
692,624000
694,604720
695,604720
696,604210
697,624000
698,624000
699,624000
700,624000
701,638410
702,624000
703,624000
705,624000
706,604710
707,628100
708,604710
709,659800
42,604300
41,628100
712,604720
714,624000
715,659800
716,624000
717,624000
718,624000
719,632530
720,661272
721,624000
723,668340
40,668340
725,632831
726,632831
727,632831
728,668360
729,632831
731,624000
732,624000
733,638410
734,668340
735,668340
736,604710
737,604720
738,628100
739,605200
740,624000
741,604720
742,604720
743,624000
745,624000
746,604710
747,624000
748,604710
749,604710
750,624000
751,624000
752,618120
753,638410
754,624000
755,604210
756,604710
757,632540
758,632831
759,632831
760,632831
761,632831
762,626530
763,663841
764,663841
765,605200
766,622210
768,624000
769,604710
770,604720
771,604710
772,659800
773,624000
774,604300
775,624000
776,624000
777,659800
784,663841
786,663841
787,624000
789,663841
790,628100
791,628100
792,663841
793,604720
795,604710
796,604720
799,663841
800,605100
351,618120
352,668340
353,668340
354,668340
355,668340
356,618120
357,618120
358,618120
359,618120
360,618120
361,624000
362,661257
364,668340
365,668340
366,632831
367,659800
368,663841
369,618120
370,632840
371,624000
372,605200
373,638410
374,624000
375,604210
376,624000
377,604130
650,604130
379,663841
380,632831
382,618120
383,668340
384,618120
385,604130
386,604210
387,624000
389,618120
391,604300
392,624000
393,624000
394,624000
395,624000
396,624000
397,618120
398,624000
399,604720
400,624000
402,668340
403,632831
404,632831
405,604720
406,618120
407,632831
408,624000
409,663841
410,618120
411,618120
412,618120
413,618120
414,618120
416,618120
417,632540
418,632840
419,668340
420,668340
421,632831
422,632831
423,618120
424,604210
425,604720
426,624000
427,604710
428,624000
429,624000
430,624000
431,663841
432,624000
433,668340
434,668360
435,668360
436,668360
926,632831
652,632540
690,618120
667,668340
713,659800
730,632831
437,624000
438,618120
439,668340
440,668340
778,628100
779,624000
788,663841
797,661272
798,624000
488,632831
4049,624000
722,668340
415,618120
390,604710
489,632831
490,632831
917,604210
659,624000
442,618120
443,663841
444,663841
445,618120
446,618120
447,618120
448,632840
449,626530
450,668340
451,632831
453,659800
454,618120
455,628100
456,663841
457,659800
458,618120
441,604210
459,632831
460,632831
782,604710
781,626530
461,604720
43,604130
44,604210
45,618120
46,622210
47,618120
48,622210
49,604720
50,618120
501,604210
503,624000
505,624000
506,624000
507,628100
508,628100
510,628100
513,624000
514,624000
539,604710
120,624000
121,604710
122,624000
152,668360
162,624000
537,624000
532,604300
533,604130
540,624000
541,604130
542,638410
546,618120
547,638410
548,632840
549,618120
550,659800
492,632831
4001,632831
4002,668360
4003,668360
4004,668360
4005,632831
4006,632831
4007,632831
4008,632831
4009,632831
4010,663841
4011,632831
4012,632831
4013,668340
4014,668360
22,624000
23,604130
1008,624000
1009,632840
64,624000
65,624000
67,604210
69,663841
70,604710
1010,622210
461,604720
462,624000
463,604210
464,624000
465,622210
466,604710
467,626530
469,604710
470,632860
471,632860
511,659800
512,624000
19,604300
20,632860
515,628100
516,604130
518,661257
519,624000
520,618120
521,632860
522,659800
523,663841
4015,668360
4016,668340
4018,624000
21,604130
123,604720
124,624000
164,618120
1012,659800
25,659800
26,628100
27,624000
28,659800
29,604210
30,618120
31,604130
388,668340
32,618120
33,663841
126,624000
127,618120
129,663841
130,624000
193,659800
71,605100
73,632831
132,605200
133,628100
165,618120
198,624000
199,604710
74,663841
75,638410
76,663841
77,618120
78,668360
79,618120
166,618120
167,624000
472,618120
473,604720
474,632831
475,663841
476,618120
477,618120
478,661273
479,632840
480,632831
481,618120
482,618120
534,624000
535,624000
543,604130
24,624000
170,632840
526,604710
528,622210
529,624000
530,624000
531,663841
536,624000
34,624000
35,605820
36,631000
37,632831
38,632831
39,632831
40,632831
41,624000
42,624000
43,604720
80,624000
81,604720
82,618120
83,668360
84,604710
85,668340
86,624000
87,624000
88,659800
89,624000
4090,604710
101,604710
103,626530
104,628100
105,632540
106,618120
107,604130
109,618120
110,638410
111,663841
112,604720
136,618120
137,632840
138,628100
139,618120
140,624000
141,632540
200,618120
4151,659800
153,604710
154,618120
155,663841
156,624000
157,624000
158,605200
160,618120
483,618120
484,604210
485,604210
486,605200
487,604300
491,632831
493,618120
163,626530
171,628100
44,604720
45,604710
46,663841
47,668360
51,632831
52,604710
53,624000
50,604720
91,604720
92,624000
93,659800
94,624000
95,604710
96,624000
97,604720
98,624000
99,604720
100,624000
113,624000
114,604710
115,624000
116,624000
117,604710
118,624000
119,624000
134,604210
142,632860
172,624000
173,624000
174,624000
177,604710
178,624000
179,624000
143,605200
144,624000
145,659800
146,618120
147,618120
148,624000
149,604130
150,618120
161,628100
180,604710
184,604710
195,624000
197,618120
181,632831
168,668360
169,668340
183,632831
28,668360
196,668340
494,605200
495,624000
496,624000
497,624000
498,604720
499,604130
500,618120
545,659800
54,604130
55,624000
56,624000
57,624000
58,624000
59,624000
60,604710
61,624000
62,605200
63,624000
1013,659800
1014,604130
1016,628100
1017,604210
175,604720
182,604710
185,604710
186,604710
201,604720
202,624000
1019,604710
1020,624000
1051,624000
187,605200
188,624000
189,604300
190,604710
191,604210
192,605200
204,632831
1021,624000
205,663841
206,632860
207,663841
203,605200
208,659800
210,604710
211,604710
212,618120
209,618120
213,663841
214,668360
215,632831
216,668340
451,604130
452,624000
453,624000
454,659800
455,624000
456,624000
457,618120
458,618120
459,659800
1234,638410
1226,604710
460,632831
461,605200
462,624000
463,624000
464,632840
465,604710
466,624000
467,624000
468,624000
469,632540
470,618120
471,632540
472,618120
473,624000
474,618120
475,618120
476,604210
477,604720
478,618120
479,604710
480,624000
481,605200
482,604720
491,624000
492,668360
493,604210
494,624000
495,604210
496,618120
497,668360
498,632831
499,618120
500,624000
1031,638410
1032,604130
1022,624000
1023,624000
1024,628100
1025,604300
1026,624000
1027,638410
1028,618120
1035,663841
1036,624000
1037,624000
1038,624000
1039,604130
1040,632860
1041,605200
1042,604130
483,604720
484,604710
485,604710
486,632831
487,632831
488,632831
489,632831
490,624000
1001,624000
1002,628100
1003,628100
1043,624000
1237,618120
4223,659800
1044,659800
1045,604210
1046,624000
1047,624000
1048,624000
1049,624000
1050,624000
4050,624000
4048,624000
1054,668340
1055,668340
1056,668340
1057,668360
1058,668360
1059,632831
1060,632831
1061,632831
1062,632831
1063,632831
1065,605200
1066,604720
1067,663841
1068,604130
1107,618120
1108,624000
1109,624000
1110,604130
1111,618120
1112,604130
1113,618120
1114,624000
1115,624000
1181,604210
1182,604710
1183,659800
1184,663841
1185,632840
1186,628100
1187,604720
1188,604710
1189,624000
1004,628100
1005,604130
1006,631000
1007,624000
1030,638410
1052,604130
